Application ID,Submission ID,Applicant Role,"Association, Cooperative, or Owner",Address Number,Street Direction,Street Name,Street Type,Number of Units,PIN,Vote Date,Recorded Date,Signed Date,Latitude,Longitude,Location
1687,PB2017A01687,Agent,South Commons Phase I Condo Assn,3041,S,Michigan,AVE,679,17-27-310-093-1679,,08/11/2017,08/11/2017,41.838299776,-87.623296812,"(41.83829977603046, -87.62329681198794)"
1868,PB2017A01868,authorized agent,,1342,S,Federal,ST,1,17-21-211-181-0000,,09/11/2017,09/11/2017,41.864513158,-87.629552548,"(41.86451315797737, -87.62955254795443)"
1676,PB2017A01676,Agent,3365-3369 N. Clark,3365-3369,N,Clark,ST,2,14-20-419-077-0000,,08/11/2017,08/11/2017,41.943457073,-87.653355999,"(41.94345707298264, -87.65335599897453)"
764,PB2016A00764,Registered Agent,Huron Pointe Condo Assoc,421,W,Huron,ST,99,17-09-124-020-1001-1222,,,10/19/2016,41.894614416,-87.639438496,"(41.89461441601839, -87.6394384960245)"
911,PB2017A00911,Registered Agent,2222 W Belmont Condo Assoc,2222,W,Belmont,AVE,20,14-19-329-055-1001-1020,,,11/28/2016,41.939611929,-87.684150991,"(41.939611929018625, -87.684150991023)"
324,PB2016A00324,Property Manager,Delaware Place Condominium Assoc,105-107,W,Delaware,PL,16,17-04-440-034-1001-1016,,,08/03/2016,41.899152283,-87.63156169,"(41.899152283046206, -87.63156168995424)"
1276,PB2017A01276,Registered Agent,,3500-3502,N,Reta,AVE,18,14-20-406-043-0000,,03/27/2017,03/27/2017,41.945545172,-87.650794536,"(41.94554517202249, -87.65079453600902)"
2170,PB2018A02170,Registered Agent,Magnolia Grace Condominium Association,3763-3765,N,Magnolia,AVE,12,14-20-118-046-1007,03/05/2018,03/09/2018,03/09/2018,41.950763528,-87.660332325,"(41.950763527984726, -87.66033232498829)"
209,PB2016A00209,Authorized Agent,Grandville Garden Condominium Assoc,1746-1750,W,Granville,AVE,17,14-06-209-092-1001,,,08/01/2016,41.994486368,-87.673719715,"(41.994486368020205, -87.67371971503297)"
915,PB2017A00915,Authorized Agent,Wrightwood Burling Place Condo Assoc,734,W,Wrightwood,AVE,31,14-28-302-053-1001-1036,,,11/30/2016,41.929201613,-87.64781235,"(41.92920161302189, -87.64781234995962)"
2513,PB2019A02513,Association Board President,912 West Chicago Avenue Condominiums Association,912,W,Chicago,AVE,12,17-05-424-016-1001 through 17-05-424-016-1032,,04/09/2019,04/09/2019,41.89645528,-87.650417352,"(41.89645527996394, -87.65041735197431)"
311,PB2016A00311,Property Manager,Old Norwood Circle Condominium Assoc,5962,N,East Circle,AVE,17,13-06-305-060-1001-1017,,,08/03/2016,41.990202761,-87.800301614,"(41.99020276104582, -87.80030161399664)"
2317,PB2018A02317,Owner,,2101,W,Irving Park,RD,5,14-19-105-033-0000,,05/14/2018,05/14/2018,41.954010154,-87.681240941,"(41.95401015404328, -87.68124094099036)"
2069,PB2017A02069,"Lakeview Associates, Inc (property manager)",,417,W,Roscoe,ST,36,14-21-310-016-0000,,11/21/2017,11/21/2017,41.94325362,-87.641220858,"(41.94325361996783, -87.64122085803231)"
2052,PB2017A02052,General Manager,Park Millennium Condominium Association,222,N,Columbus,DR,480,17-10-316-033-1004 to 17-10-316-033-1483,,11/16/2017,11/16/2017,41.886339416,-87.62083615,"(41.886339416011204, -87.62083614995649)"
2340,PB2018A02340,authorized agent,5100 Marine Drive Condo Association,5100,N,Marine,DR,300,14-08-403-028-1001-1300,06/01/1999,07/26/2018,07/26/2018,41.975355803,-87.65189745,"(41.9753558029658, -87.65189744998881)"
1708,PB2017A01708,AUTHORIZED AGENT,WRIGHTWOOD BURLING PLACE CONDOMINIUM ASSOCIATION,734-744,W,WRIGHTWOOD,AVE,31,14283020531036,,08/11/2017,08/11/2017,41.929201613,-87.64781235,"(41.92920161302189, -87.64781234995962)"
3102,PB2020A03102,Manager,,1348,W,Roscoe,ST,30,14-20-313-037-0000,,09/30/2020,09/30/2020,41.943535713,-87.663423377,"(41.943535712516216, -87.66342337744332)"
234,PB2016A00234,Property Manager,5040-60 N Marine Drive Condominium Assoc,5044,N,Marine,DR,31,14-08-407-022-1031-1061,,,08/09/2016,41.974699864,-87.651654351,"(41.97469986384238, -87.6516543505201)"
56,PB2016A00056,Managing Agent,Museum Pointe Condominium Assoc,233,E,13th,ST,206,17-22-110-119-1001-1498,,,07/28/2016,41.86571566,-87.621359183,"(41.865715659896104, -87.62135918326041)"
309,PB2016A00309,Property Manager,Renaissance Place at Hyde Park Townhome Assoc,5200-5234,S,Berkeley,AVE,28,20-11-308-025-1001-1028,,,08/03/2016,41.800805556,-87.600656422,"(41.80080555552255, -87.60065642232989)"
675,PB2016A00675,Authorized Agent,339 W Barry Homeowners Assoc,337-339,W,Barry,AVE,68,14-28-202-016-1001-1068,,,08/19/2016,41.937629269,-87.63837729,"(41.93762926928939, -87.63837729041514)"
2724,PB2019A02724,Manager,,607-611,W,Oakdale,AVE,19,14-28-116-010-0000,,10/02/2019,10/02/2019,41.935470206,-87.644614288,"(41.93547020644355, -87.64461428798926)"
3224,PB2022A03224,GNP Management Group,,3963,W,Belmont,AVE,184,13-26-100-030-1001,,04/05/2022,04/05/2022,41.938996226,-87.72618337,"(41.938996225584646, -87.7261833701353)"
129,PB2016A00129,Board President,Shoreline Towers Condominium Assoc,6301,N,Sheridan,RD,378,14-05-203-011-1002-1380,,08/01/2016,08/01/2016,41.996515074,-87.655436558,"(41.99651507410467, -87.65543655802675)"
2636,PB2019A02636,Manager,,7237,N,Ridge,BLVD,9,11-30-323-006-0000,,10/01/2019,10/01/2019,42.013349816,-87.683293883,"(42.013349815602545, -87.68329388326212)"
1528,PB2017A01528,authorized agent,North Town Village Condo Assoc,756,W,Evergreen,AVE,145,17-04-113-100-1013-1014,,08/10/2017,08/10/2017,41.906489011,-87.648011297,"(41.9064890106292, -87.64801129699954)"
366,PB2016A00366,Managing Agent,73 East Lake Condominium Assoc,73,E,Lake,ST,332,17-10-306-004-0000,,,08/11/2016,41.885623498,-87.625373821,"(41.88562349781985, -87.6253738213704)"
2718,PB2019A02718,Manager,,504,W,32nd,ST,5,17-33-105-043-0000,,10/02/2019,10/02/2019,41.836425523,-87.639160928,"(41.836425522662644, -87.63916092836892)"
1642,PB2017A01642,President,Four Corners II Condo Assn,5312-5316,S,Kimbark,AVE,21,20-11-413-020-1001,,08/11/2017,08/11/2017,41.799038374,-87.595162797,"(41.79903837399771, -87.59516279689386)"
259,PB2016A00259,Authorized Agent,Brompton Pine Grove Condominium Assoc,549-551,W,Brompton,AVE,7,14-21-112-001-1001-1007,,,08/17/2016,41.947014346,-87.644618916,"(41.947014345526426, -87.64461891634578)"
1700,PB2017A01700,Property Manager,,4671-4675,N,Manor,AVE,18,1313111030-1001,,08/11/2017,08/11/2017,41.966507549,-87.701193076,"(41.9665075487489, -87.70119307576046)"
598,PB2016A00598,Authorized Agent,Chelsea Townhomes,1117 #3,W,Monroe,ST,1,17-17-210-094-0000,,,09/22/2016,41.880247094,-87.655383997,"(41.880247094162456, -87.6553839968631)"
3032,PB2019A03032,MANAGER,,7502,N,HOYNE,AVE,40,11-30-308-023-0000,,12/09/2019,12/09/2019,42.018078148,-87.683138272,"(42.01807814818305, -87.68313827154297)"
546,PB2016A00546,Authorized Agent,"RTS Properties LLC, 4016 W Palmer Series",4016,W,Palmer,ST,8,13-34-216-020-0000,,,08/31/2016,41.920926211,-87.727402631,"(41.920926211076456, -87.72740263088365)"
1704,PB2017A01704,Owner,,2866-2868,N,Lincoln,AVE,2,14-29-131-002-0000,,08/11/2017,08/11/2017,41.933922522,-87.660830571,"(41.93392252197248, -87.6608305713586)"
1560,PB2017A01560,authorized agent,North Town Village Condo Assoc,720,W,Evergreen,AVE,145,17-04-113-100-1075-1076,,08/10/2017,08/10/2017,41.906473842,-87.646412594,"(41.90647384150632, -87.64641259424982)"
1634,PB2017A01634,Treasurer,Clinton Complex Condo Assn,550,W,Harrison,ST,267,17-16-128-007-1545,,08/11/2017,08/11/2017,41.8744929,-87.641471854,"(41.87449289996767, -87.64147185370373)"
1591,PB2017A01591,Agent,Carl Sandburg Village Condo Assn,115-131,W,Goethe,ST,60,17-04-209-044-1001,,08/10/2017,08/10/2017,41.905661205,-87.632124898,"(41.90566120518446, -87.63212489801381)"
1719,PB2017A01719,Owner,,2116-2118,W,BERTEAU,AVE,6,14183120390000,,08/11/2017,08/11/2017,41.957869715,-87.682062635,"(41.9578697145452, -87.68206263531607)"
271,PB2016A00271,Authorized Agent,850 Dewitt Place Condominium Assoc,850,N,DeWitt,PL,213,17-03-227-022-1001-1219,,,08/17/2016,41.898402191,-87.620344663,"(41.89840219058591, -87.62034466317886)"
3131,PB2021A03131,Kalabich Management,,7516-7524,S,Coles,AVE,26,21-30-200-009 and 010-0000,,03/30/2021,03/30/2021,41.759364146,-87.558315942,"(41.759364145816114, -87.55831594230102)"
2025,PB2017A02025,"Lakeview Associates, Inc. (property manager)",,2540-2542,N,Racine,AVE,18,14-29-315-052-0000,,10/23/2017,10/23/2017,41.928332574,-87.658701453,"(41.92833257387978, -87.65870145322471)"
1537,PB2017A01537,authorized agent,North Town Village Condo Assoc,1311,N,Burling,ST,145,17-04-113-100-1039,,08/10/2017,08/10/2017,41.905286059,-87.647164405,"(41.90528605869917, -87.6471644047589)"
1669,PB2017A01669,Property Manager,Catherine Court Condo Assn,5310,N,Chester,AVE,499,12-11-119-038-1512,,08/11/2017,08/11/2017,41.975861339,-87.839263731,"(41.975861339148764, -87.83926373124639)"
1555,PB2017A01555,authorized agent,North Town Village Condo Assoc,706-710,W,Evergreen,AVE,145,17-04-113-100-1064-1066,,08/10/2017,08/10/2017,41.906477214,-87.646182996,"(41.90647721392078, -87.64618299624459)"
898,PB2017A00898,Authorized Agent,Dearborn Village I Condo Assoc,1812,S,Dearborn,ST,48,17-21-409-033-1001-1050,,,11/16/2016,41.857020837,-87.628830517,"(41.8570208369112, -87.62883051672874)"
3083,PB2020A03083,Attorney,Wellington Terrace Condominiums,735-749,W,WELLINGTON,AVE,24,14-28-110-017-1013 thru 14-28-110-017-1036,,07/23/2020,07/23/2020,41.936303635,-87.648117788,"(41.936303635187, -87.64811778763767)"
644,PB2016A00644,Authorized Agent,Chelsea Townhomes,1137 #20,W,Monroe,ST,1,17-17-210-048-0000,,,09/22/2016,41.880235292,-87.656141443,"(41.88023529222652, -87.6561414427707)"
1938,PB2017A01938,President,630 N. Franklin Condo Assoc,630,N,Franklin,ST,165,"17-09-222-018-0000, 17-09-222-019-0000 (formerly under PB2017A01819)",,09/13/2017,09/13/2017,41.893205611,-87.635762438,"(41.8932056108229, -87.63576243834135)"
784,PB2016A00784,Owner,,633-647,W,Addison,ST,21,14-21-301-001-0000,,,10/25/2016,41.94743503,-87.646653355,"(41.947435030314345, -87.64665335499932)"
1816,PB2017A01816,AUTHORIZED AGENT,LANDMARK GARDEN CA,3527-3531,S,DEARBORN,ST,6,17334260144026,,08/25/2017,08/25/2017,41.829905179,-87.627387229,"(41.82990517860591, -87.62738722931374)"
1586,PB2017A01586,AUTHORIZED AGENT,LAKESHORE POINTE CA,2347-2377,E,70TH,PL,63,20244300111114,08/08/2016,08/10/2017,08/10/2017,41.767037199,-87.567860646,"(41.7670371994043, -87.56786064613509)"
199,PB2016A00199,Authorized Agent,Pine Grove Court Condominium Assoc,3600-3608,N,Pine Grove,AVE,55,14-21-109-017-1001,,,08/01/2016,41.947932783,-87.645711907,"(41.94793278258009, -87.64571190655495)"
2597,PB2019A02597,Manager,,714,W,14th,ST,122,17-21-114-009-0000,,09/25/2019,09/25/2019,41.863700714,-87.645400495,"(41.863700713675826, -87.64540049541176)"
279,PB2016A00279,Authorized Agent,40 East Cedar Condominium Assoc,40,E,Cedar,ST,75,17-03-201-069-1001-1076,,,08/18/2016,41.902507441,-87.626745765,"(41.90250744093347, -87.62674576488727)"
832,PB2017A00832,Owner,Northtown Village Phase II,722,W,Evergreen,AVE,,17-04-113-100-1076,,,08/29/2016,41.906473394,-87.646445429,"(41.90647339372219, -87.6464454292848)"
433,PB2016A00433,Registered Agent,Westridge Crossing Condominium Assoc,6400,N,Ridge,BLVD,31,11-31-401-105-1000,,,08/15/2016,41.998019258,-87.67701946,"(41.99801925816484, -87.67701946010892)"
1825,PB2017A01825,AUTHORIZED AGENT,LANDMARK GARDEN CA,3540,S,STATE,ST,5,1733426014,,08/28/2017,08/28/2017,41.829782598,-87.626748259,"(41.829782597803366, -87.62674825918974)"
1422,PB2017A01422,Property Manager,Fargo Court Condominium,1530-1536,W,Fargo,AVE,26,11-29-306-032-1001 through 11-29-306-032-1026,08/27/2015,07/16/2017,07/16/2017,42.017209705,-87.669406962,"(42.01720970502197, -87.66940696249856)"
2795,PB2019A02795,MANAGER,,3225,W,111TH,ST,18,24-23-207-077-0000,,10/02/2019,10/02/2019,41.691441968,-87.702006799,"(41.69144196840801, -87.70200679874824)"
1566,PB2017A01566,Property Manager,Landmark Village Condo Association,2911,N,Wolcott,AVE,999,14-30-222-173-1041,,08/10/2017,08/10/2017,41.934500348,-87.675615866,"(41.934500348273176, -87.67561586577001)"
1791,PB2017A01791,Owner,,3637,W,Grace,ST,8,13-23-122-017-0000,,08/23/2017,08/23/2017,41.950018889,-87.719228055,"(41.950018889382214, -87.71922805469167)"
1569,PB2017A01569,authorized agent,North Town Village Condo Assoc,1341-1345,N,Burling,ST,145,17-04-113-100-1089-1091,,08/10/2017,08/10/2017,41.906012236,-87.64718322,"(41.90601223559319, -87.64718321977244)"
1188,PB2017A01188,Vice President,,455,W,Wellington,AVE,80,14-28-113-001-0000,,03/03/2017,03/03/2017,41.936448984,-87.641583266,"(41.936448983856266, -87.64158326628223)"
648,PB2016A00648,Authorized Agent,Chelsea Townhomes,1145,W,Monroe,ST,1,17-17-210-044-0000,,,09/22/2016,41.88023057,-87.656444421,"(41.88023057005268, -87.65644442107411)"
235,PB2016A00235,Property Manager,5040-60 N Marine Drive Condominium Assoc,5040,N,Marine,DR,30,14-08-407-022-1001-1030,,,08/09/2016,41.974589513,-87.651613451,"(41.97458951300191, -87.65161345058888)"
3173,PB2021A03173,Owner,,5044-5054,N,Sheridan,RD,145,14-08-406-011-0000,,11/03/2021,11/03/2021,41.974676615,-87.65511251,"(41.97467661516943, -87.65511250991764)"
1879,PB2017A01879,authorized agent,,1357,S,Clark,ST,1,17-21-211-183-0000,,09/11/2017,09/11/2017,41.864207487,-87.630170753,"(41.86420748676076, -87.6301707529583)"
1466,PB2017A01466,PROPERTY MANAGER,,3652-3656,N,LINCOLN,AVE,6,14-19-226-015-0000,,07/20/2017,07/20/2017,41.948339267,-87.674874698,"(41.94833926709654, -87.6748746975132)"
693,PB2016A00693,Registered Agent,Deming I LLC,482,W,Deming,PL,6,14-28-318-011-0000,10/05/2016,,10/06/2016,41.928944954,-87.641891752,"(41.92894495409439, -87.64189175197968)"
944,PB2017A00944,Owner,,440-448,N,State,ST,11,17-09-255-011-0000 thru 17-09-255-018-0000,,,12/14/2016,41.890462585,-87.628170944,"(41.89046258527004, -87.62817094368984)"
2490,PB2019A02490,Community Manager,,320,W,Illinois,ST,400,17-09-243-022-0000,,03/22/2019,03/22/2019,41.890861437,-87.636503716,"(41.890861437494806, -87.6365037161463)"
58,PB2016A00058,Authorized Agent,Heritage at Millenium Park,130,N,Garland,CT,356,17-10-309-015-0000,,12/16/2004,07/27/2016,41.884001735,-87.625490351,"(41.88400173509807, -87.62549035135513)"
2358,PB2018A02358,Board President,Eliot House Condominium Association,1255,N,Sandburg,TER,324,04-222-062-1001 - 17-04-222-062-1327,,08/13/2018,08/13/2018,41.905559286,-87.632008451,"(41.905559285994315, -87.63200845108385)"
210,PB2016A00210,Authorized Agent,5057 N Kenmore Condominium Assoc,5057-5063,N,Kenmore,AVE,23,14-08-406-001-0000,,,08/01/2016,41.974943331,-87.65622882,"(41.97494333096379, -87.6562288203465)"
655,PB2016A00655,Authorized Agent,Chelsea Townhomes,105,S,Racine,AVE,1,17-17-210-037-0000,,,09/22/2016,41.880147994,-87.656946998,"(41.88014799377435, -87.6569469978652)"
1589,PB2017A01589,Agent,Carl Sandburg Village Condo Assn,1521-1537,N,Sandburg,TER,60,17-04-209-044-1001,,08/10/2017,08/10/2017,41.909961693,-87.632074068,"(41.90996169283027, -87.63207406838804)"
2411,PB2018A02411,Property Manager,Emerald Condominium Association,123-125,S,Green,ST,213,17-17-215-024-0000,,10/16/2018,10/16/2018,41.879747219,-87.648321784,"(41.87974721852165, -87.6483217842422)"
2307,PB2018A02307,Premier Management Services,SoNo West Condominium Association,860,W,Blackhawk,ST,198,1705214010,,04/24/2018,04/24/2018,41.908646,-87.650642193,"(41.90864599993553, -87.65064219250912)"
868,PB2017A00868,Owner,Lawndale Apartments,3206,W,Douglas,BLVD,,16-23-213-027-0000,,,08/29/2016,41.863066727,-87.7059073,"(41.8630667274146, -87.70590730039737)"
2945,PB2019A02945,Manager,,403-411,E,45th,ST,27,20-03-414-001-0000,,10/04/2019,10/04/2019,41.812906577,-87.616223313,"(41.81290657679051, -87.61622331264397)"
503,PB2016A00503,Authorized Agent,2 South Leavitt Condominium Assoc,2,S,Leavitt,ST,34,17-18-101-064-1001-1019,,,09/06/2016,41.88117969,-87.681677229,"(41.88117968968646, -87.68167722893423)"
1973,PB2017A01973,Registered Agent,,620,W,Surf,ST,48,1428116026,,09/20/2017,09/20/2017,41.934973425,-87.64508539,"(41.93497342546172, -87.64508539034709)"
1288,PB2017A01288,authorized agent,Sangamon Lofts Condo Assoc,913-921,W,Van Buren,ST,81,"17-17-236-013-1001-1007, 1009-1038, 1040-1063, 1065-1070, 1075, 1077-1092",,03/27/2017,03/27/2017,41.876518337,-87.650117236,"(41.87651833657723, -87.65011723613162)"
1547,PB2017A01547,authorized agent,North Town Village Condo Assoc,727,W,Blackhawk,ST,145,17-04-113-100-1050,,08/10/2017,08/10/2017,41.907140667,-87.647172475,"(41.90714066701433, -87.64717247524048)"
773,PB2016A00773,Owner,Parside Nine Phase I Apartments,545,W,Division,ST,111,17-04-304-029-0000,,,08/29/2016,41.903609009,-87.643075395,"(41.90360900854368, -87.64307539539742)"
46,PB2016A00046,Owner,Le Breton & Sons LLC,2891,N,Milwaukee,AVE,5,13-26-216-068-0000,,,07/25/2016,41.933945045,-87.715165916,"(41.933945044512306, -87.71516591619094)"
2091,PB2017A02091,authorized agent,4010-4012 S Drexel Blvd Condo Assoc,4010-4012,S,Drexel,BLVD,6,20-02-105-031-1001-1006,11/18/2017,12/04/2017,12/04/2017,41.821043998,-87.60574336,"(41.82104399844451, -87.60574335976287)"
1932,PB2017A01932,authorized agent,,3541,S,Federal,ST,1,17334260144003,,09/12/2017,09/12/2017,41.829619429,-87.62871671,"(41.8296194286537, -87.62871671048673)"
219,PB2016A00219,Authorized Agent,Tower Residences Condominium Assoc,1235,S,Prairie,AVE,286,17-22-110-125-1001-1680,,05/15/2006,08/01/2016,41.866095251,-87.621502054,"(41.866095250729686, -87.6215020537047)"
668,PB2016A00668,Board President,Union Park Lofts Condo Assoc,1327,W,Washington,BLVD,37,17-08-335-028-1001-1037,,,10/05/2016,41.882812988,-87.66068229,"(41.88281298818196, -87.66068229045455)"
1138,PB2017A01138,authorized agent,Glen Lake No. 1 Condo Assoc,6461,W,Warner,AVE,72,13-18-409-069-1181-1252,01/23/2017,02/23/2017,02/23/2017,41.956250329,-87.788981663,"(41.956250329078074, -87.78898166313944)"
618,PB2016A00618,Authorized Agent,Chelsea Townhomes,1123,W,Monroe,ST,1,17-17-210-074-0000,,,09/22/2016,41.880243554,-87.655611231,"(41.88024355410647, -87.65561123065774)"
2498,PB2019A02498,Lavinia Shimkus,,2439,W,Carmen,AVE,3,13-12-407-019-0000,,03/28/2019,03/28/2019,41.973961861,-87.690629147,"(41.97396186091787, -87.69062914653863)"
1376,PB2017A01376,Property Manager,,40-50,E,Chicago,AVE,37,17-3-230-008-0000,,06/19/2017,06/19/2017,41.896807301,-87.626705463,"(41.89680730089653, -87.62670546301278)"
739,PB2016A00739,Owner,Bucks Traverse LLC Reside at Belmont Flats,425,W,Belmont,AVE,39,14-28-103-022-0000,,,10/11/2016,41.939989954,-87.640679583,"(41.93998995422506, -87.64067958327105)"
2316,PB2018A02316,Owner,,3656,N,Ashland,AVE,8,14-19-232-021-0000,,05/14/2018,05/14/2018,41.948664226,-87.669050788,"(41.948664225929576, -87.66905078783824)"
1261,PB2017A01261,Registered Agent,,6810-6814,N,Lakewood,AVE,30,11-32-123-014-0000,,03/27/2017,03/27/2017,42.005848359,-87.663806496,"(42.005848359430445, -87.66380649580378)"
3027,PB2019A03027,Manager,,8343,S,Rhodes,AVE,6,20-34-402-005-0000,,12/02/2019,12/02/2019,41.742584471,-87.611308145,"(41.742584471428586, -87.61130814526256)"
1576,PB2017A01576,Agent,Fulton Court Condo Association,300,N,DesPlaines,ST,48,17-09-308-004-1001,,08/10/2017,08/10/2017,41.886834052,-87.644423621,"(41.886834052075095, -87.64442362063004)"
2206,PB2018A02206,Property Manager,,1323,S,Michigan,AVE,30,17-22-105-042-1002,,04/02/2018,04/02/2018,41.865111718,-87.623952362,"(41.86511171796822, -87.62395236207038)"
1299,PB2017A01299,Property Manager,Dayton Dickens Condominium Association,2059,N,Dayton,ST,14,1432228041008-1432228041014 and 1432228041001-1432228041001-1432228041007 and 143222804-1015,,03/28/2017,03/28/2017,41.919887887,-87.649640234,"(41.919887887102185, -87.64964023399631)"
1630,PB2017A01630,Agent,611-613 W. Briar,611-613,W,Briar,PL,11,14-28-104-076-0000,,08/10/2017,08/10/2017,41.939033833,-87.644866089,"(41.93903383311649, -87.6448660890312)"
492,PB2016A00492,Authorized Agent,400 Condominium Assoc,400,E,Randolph,ST,956,17-10-400-012-1001-1957,,,09/02/2016,41.884646365,-87.617248496,"(41.8846463654345, -87.61724849623945)"
2210,PB2018A02210,Property Manager,,1507-1509,N,Avers,AVE,6,16-02-103-021-0000,,04/03/2018,04/03/2018,41.908373395,-87.722682867,"(41.908373394636364, -87.72268286731646)"
2483,PB2019A02483,authorized agent,Parkside of Old Town Townhome Leasehold Condo Assoc,1142-1154,N,Hudson,AVE,56,17-04-305-058-4001-4056,12/19/2018,03/15/2019,03/15/2019,41.902743012,-87.640266444,"(41.9027430115405, -87.640266444403)"
134,PB2016A00134,Property Manager,Twelve Nine Astor Building Corporation,1209,N,Astor,ST,31,17-03-113-003-0000,,07/21/2016,07/29/2016,41.904288896,-87.62678617,"(41.90428889561306, -87.62678616996178)"
1071,PB2017A01071,authorized agent,Commonwealth Historic Priarie Avenue HOA,1815-1849,S,Prairie,AVE,37,17-22-309-072-0000-17-22-309-114-0000,,02/03/2017,02/03/2017,41.857418276,-87.62060846,"(41.85741827615482, -87.620608459751)"
3099,PB2020A03099,President,The 1470 W Balmoral Condominium Association,1470,W,Balmoral,AVE,3,14-08-109-061-1003,06/09/2020,09/12/2020,09/12/2020,41.979965893,-87.667596725,"(41.9799658929388, -87.66759672509312)"
439,PB2016A00439,Authorized Agent,Beekman Place Townhome Homeowners Assoc,55,W,Goethe,ST,42,17-04-223-038-0000 thru          17-04-223-070-0000,,,08/24/2016,41.905684174,-87.630635818,"(41.905684174237216, -87.63063581826307)"
